,Date,Rating,ReviewText
38,"October 10, 2021",3,"Last Minute Layoffs/Chip Shor The main reason I resigned was due to the frequent layoffs due to chip shortage. I was employed for 8 months, but only worked a total of 3.5 months. January and August were the only months I worked all 4 weeks. Hours would sometimes total 50+ hrs, then drastically drop to 15 - 25 hrs. Sometimes the layoffs would happen suddenly. The 2nd reason was due to people related to each other on the line creating problems and conspiring against other team members."
39,"October 5, 2021",3,Tired  I have no expectations for anyone to do what's right.   I'm not angry or bitter.  I'm just able to see this place for what it is.  The salary turnover is extremely high. 
40,"October 4, 2021",2,"Not a good work environment, very unprofessional, and all over the place  The recon department was very short staff, sales is always coming down to recon to ask when vehicles will be done and would rush the recon department expecting the most when it was very short staff. For the amount of work they expect of us they pay flat rate which isn’t very much and the environment wasn’t safe. After working all week over the weekend our stuff and chemicals would go missing and when you advised the manager they wouldn’t do anything about it. There was no compromising at all. Overall not a professional place at all. "
41,"October 4, 2021",2,"Stressful position if you don't have the right job on the line Job security if  you can manage to put up with a lot of nonsense, bad management, filthy facility, disrespect, ""special"" coworkers, team leads who don't lead and never really knowing when your shift will end. "
42,"February 18, 2020",5,amazing work place great place to work the tech and management is extremely helpful and friendly. everyone seeks to help others succeed and working here has helped me out over and beyond.
43,"November 1, 2021",5,Solid Internship I interned as an STA Site Engineer and learned a lot about manufacturing. My supervisor was very supportive and the pay was decent for an internship. 
44,"November 1, 2021",3,It's not as easy as people think Starting pay is low for the tedious tasks and stress compared to other places. If you can stick it out for a few years you'll be hired in full time and get the perks that most people want. 
45,"October 31, 2021",3,Very poor taining If you don't have specific experience with Ford payroll and programs job is extremely challenging. Very unprofessional due to lack of employees. Extremely high turnover. Better hit the ground running a d don't stop for breaks or lunches are non existent. Yelling and berating all day.
46,"October 30, 2021",5,Great employer Ford Motor Company is a place I take great pride in working at. The history of Henry Ford is amazing. The Ford family is extremely generous and gives back to the community.I'm proud to work at Ford Motor Company
47,"October 29, 2021",4,Manufacturing  Ford’s best quality is definitely its benefits. There are many departments so it’s somewhat easy to find a job that is manageable for everyone. Union. 
48,"October 25, 2021",5,Solid place to work Good job security at Ford. Very adaptable for any of your needs if you need to take time off for being sick or to just work from home when important things come up like maintenance coming to your place to fix things. Downsides are that yearly bonuses are based overall on company performance which has been underwhelming the past few years. Can be misused as an employee and be stuck doing something you may not have the qualifications for. 
49,"October 23, 2021",1,"Underpaid, bad management  They don’t pay you anywhere near enough to make a living wage especially when you’re working short weeks or laid off most of the time. Supervisors have no clue what they are doing, "
50,"October 22, 2021",3,Would not recommend  If you enjoy being physically exhausted and overworked this job is perfect for you. Co workers barely do any work. Three days to learn all connections and jobs or you're fired. Supervisors show favoritism and overall not a good environment to work. Pay is okay 
51,"October 19, 2021",5,"Ford Motor Company Overall, Ford is a great place to work. You can learn a lot and everyone treats you like a part of the family. Get to work with so many different parts of the company. "
52,"October 19, 2021",3,It's auto sales Working as a car salesman you have no social life outside work. Pay is good if you work really hard and put in some serious hours. It's perfect for younger kids looking to make a good income and have no established family. 
53,"October 19, 2021",3," Ford Motor Company (MAP)  Long hours, long days, lots of layoffs, great benefits once permanent. Do not have to pay for benefits. College reimbursement offered. Bonuses good. Pay is moderate not great. Stressful work environment physically and risks with Covid. Team leads are great. Supervisors are horrible. Union reps are great. "
54,"October 17, 2021",3,"Decent pay, terrible shift hours, terrible management. Decent company to work for if you want to be another number for a company. Decent starting pay with potential to reach pretty good pay after a few years. Management is terrible and company is understaffed."
55,"October 17, 2021",3,"Good Place but not for long haul This company used to be amazing for building a career, but all the changes made in recent years makes it hard to promote and go up. The benefits are only thing worth while. "
56,"October 15, 2021",5,Good place to work  Ford is a good place to work and invest your skills as a skilled trades person.  If you want to work there is plenty of overtime available if not at your home area you can work at other locations within the Rouge complex.
57,"October 13, 2021",2,"If you want to work, the job is great Ford is a family based company. You never know who is some kin to who. So watch what you say do your assign work, take your breaks, come back on time so the next person can take theirs. Don’t get caught in someone else’s area and your job isn’t complete, or you’re not on a break, communicate with your supervisor at all times and you shouldn’t have any problems."
58,"October 13, 2021",4,"Needs to move faster, improve warranty & cut material costs The overall outlook should be very positive.  Quality and warranty costs are public knowledge - warranty drags down profit.  Ford is moving toward electric vehicles while riding on Internal Combustion Engine (ICE) legacy profits.  Design and launch times need to be reduced.  Customers like the product line-up and there is demand.  Costs need to be reduced to achieve market level sustainable profit margins.  Upper Management is aware of what needs to happen - it comes down to execution at the tactical level."
59,"October 10, 2021",3,"Last Minute Layoffs/Chip Shor The main reason I resigned was due to the frequent layoffs due to chip shortage. I was employed for 8 months, but only worked a total of 3.5 months. January and August were the only months I worked all 4 weeks. Hours would sometimes total 50+ hrs, then drastically drop to 15 - 25 hrs. Sometimes the layoffs would happen suddenly. The 2nd reason was due to people related to each other on the line creating problems and conspiring against other team members."
60,"October 5, 2021",3,Tired  I have no expectations for anyone to do what's right.   I'm not angry or bitter.  I'm just able to see this place for what it is.  The salary turnover is extremely high. 
61,"October 4, 2021",2,"Not a good work environment, very unprofessional, and all over the place  The recon department was very short staff, sales is always coming down to recon to ask when vehicles will be done and would rush the recon department expecting the most when it was very short staff. For the amount of work they expect of us they pay flat rate which isn’t very much and the environment wasn’t safe. After working all week over the weekend our stuff and chemicals would go missing and when you advised the manager they wouldn’t do anything about it. There was no compromising at all. Overall not a professional place at all. "
62,"October 4, 2021",2,"Stressful position if you don't have the right job on the line Job security if  you can manage to put up with a lot of nonsense, bad management, filthy facility, disrespect, ""special"" coworkers, team leads who don't lead and never really knowing when your shift will end. "
63,"February 18, 2020",5,amazing work place great place to work the tech and management is extremely helpful and friendly. everyone seeks to help others succeed and working here has helped me out over and beyond.
64,"September 30, 2021",3,Fast paced. The line never stops. Ni Is a good company to work for but it takes a while to become full-time permanent. Two years of continuous service by the current contract to full tine
65,"September 29, 2021",5,Stepping Stone This can be a good place to start if u want to later leave and do other things. Take advantage of the tuition reimbursement. Take advantage of all the perks
66,"September 27, 2021",1,"Good pay once you've put up with the BS for 5+ years.  Tough place to work, you're hired on as a temp and will be for 2 years. You're definitely treated as such too. Time off/missing work, is the ultimate sin. Even as minor as a Dr appointment, feels like it takes an act from Congress. Missed ONE day only because of Dec 2020 ice storm and received a verbal write up. 2 = fired. Ask anyone with some seniority - it's not half of the company it once was years ago. "
67,"September 23, 2021",5,"Great benefits pretty good pay Fast paced environment. Overall great company to work for. Very diverse workforce. Pay raises annually until you top out. As long as you show up and do your job, you will be successful."
68,"September 22, 2021",5,"The work environment is pleasant  The work can be hard at times, but you will find the job to be rewarding in the future. The union is there to help you with various situations you may encounter while at work. Just listen to your union reps and attempt to perform any job management puts you on."
69,"September 22, 2021",5,"Good place  Ford was a good place to work for, i gained tons of knowledge about the car business, as you can from any job, good or bad, and i am glad to havw worked there. "
70,"September 21, 2021",4,"Good work/life balance but frustrating bureaucracy and lack of standards My experience is within Ford R&A and has overall been quite good. The people I've worked with have been great and the workload is reasonable. One of my main complaints would be bureaucratic barriers to getting work done effectively and also the poor working relationship between powertrain research and the production side team. Additionally, there is little standardization in data processing techniques and tools and it makes for a very inefficient system, especially when getting new people up to speed."
71,"September 19, 2021",3,"Great Company clouded by poor middle management Very good place to start your career and experience a broad range of technologies and problems in the automotive industry. As you progress and start to tackle larger problems, the glaring structural weakness becomes apparent. Decision making is very slow and new ideas involve a lot of political maneuvering, i.e. partially present ideas without the problems to strategy when engineering doesn't agree. Management is way way way too hierarchical (think military) and are opaque on future direction, doubly so when they disagree with the approach. Compensation is average for Michigan, but when they want you to innovate/deliver like Silicon Valley, it is painfully lacking. "
72,"September 15, 2021",3,"Productive, poor management  Lacked management, vehicle’s are not the greatest. Too many duties very low pay, co workers will not perform their duties. Thus frustrated customers. "
73,"September 15, 2021",5,"Love working For Ford One of the best decision of life to work for Ford, amazing company with such good culture. This is the best place to work with lot of perks and life balance i will not be going anywhere"
74,"September 14, 2021",3,Longevity Over time you burn out from being undervalued & underpaid. Management went from cherry picking favorites for positions to outsourcing college kids completely overlooking their most loyal & dedicated employees. It's went from a career to just a check.
75,"September 13, 2021",4,"Great for long term Pros: Great for longer term of employment, Work from Home for the employees have some situationCons: - Limited Internal promotion and visionary opportunity- Less Standardized work practices"
76,"September 13, 2021",4,No room for advancement No room for advancement stagnant positions with no extra room for growthTypically family ties tend to get people higher A lot of things are changing 
77,"September 12, 2021",4,Not confident in management Overall it was a good place to work. Some of the Foreman were difficult and plenty of time off but only under emergency conditions. Parking was not very adequate.
78,"September 11, 2021",5,"Work life balance The best part of working at Ford is the work life balance. I like my project, and I really appreciate how supportive the people around me are.                                                                                      "
79,"September 11, 2021",1,The pay  Ford sucks but great benefits I don't recommend  u applying  hereThey don't know how to manage  They try to mess u over to fire you If u making money The more money u make more problem your involve in
80,"September 11, 2021",4,"Can be great...if you have good local management Overall enjoyed working here. Many challenging assignments and able to work with new technologies. Most of our senior management tended to understand the major issues and try to help. However, the direct management was not as helpful and would brush over major issues so many lingered for years. This was frustrating."
81,"September 11, 2021",4,"Overall good experience but with a few caveats. I enjoy what I do. Working hands on troubleshooting automation equipment used to build world class vehicles is excitin and it constantly challenges me and enables me to learn new things. The manufacturing culture at Ford does not support work/life balance. They claim they do but the constant schedule and shift changes with zero regard for your family life and childcare situations shows otherwise. The working level salary team atmosphere is great but upper management is very disconnected from ""the floor"" and only concerned with arts and charts/checking boxes. Which leads to little support when you need something to do your job or have a personal scheduling issue/concern. They are not open to suggestions or alternative solutions to problems and leave you with a ""take it or leave"" feeling which does not make you feel very valued as an employee."
82,"September 10, 2021",2,"It has it good days and bad The thing I like least is seniority rules. They treat the temps/new hires bad . The money you make in the beginning isn’t worth it makes you want to quit, I believe the only reason people stay is because of the benefits. You have to wait 2-3 to be hired in. Honestly plant life isn’t for everyone,so if you are use to the plant life it might be good for you but if not you’re going to quit! "
83,"September 10, 2021",3,"Easy job and cool coworkers Cool to work at, the jobs were easy and most of the coworkers was cool. They only hire in temps and it sucks, temps don’t get anything. Will leave dirty everyday "
84,"February 18, 2020",5,amazing work place great place to work the tech and management is extremely helpful and friendly. everyone seeks to help others succeed and working here has helped me out over and beyond.
85,"September 30, 2021",3,Fast paced. The line never stops. Ni Is a good company to work for but it takes a while to become full-time permanent. Two years of continuous service by the current contract to full tine
86,"September 29, 2021",5,Stepping Stone This can be a good place to start if u want to later leave and do other things. Take advantage of the tuition reimbursement. Take advantage of all the perks
87,"September 27, 2021",1,"Good pay once you've put up with the BS for 5+ years.  Tough place to work, you're hired on as a temp and will be for 2 years. You're definitely treated as such too. Time off/missing work, is the ultimate sin. Even as minor as a Dr appointment, feels like it takes an act from Congress. Missed ONE day only because of Dec 2020 ice storm and received a verbal write up. 2 = fired. Ask anyone with some seniority - it's not half of the company it once was years ago. "
88,"September 23, 2021",5,"Great benefits pretty good pay Fast paced environment. Overall great company to work for. Very diverse workforce. Pay raises annually until you top out. As long as you show up and do your job, you will be successful."
89,"September 22, 2021",5,"The work environment is pleasant  The work can be hard at times, but you will find the job to be rewarding in the future. The union is there to help you with various situations you may encounter while at work. Just listen to your union reps and attempt to perform any job management puts you on."
90,"September 22, 2021",5,"Good place  Ford was a good place to work for, i gained tons of knowledge about the car business, as you can from any job, good or bad, and i am glad to havw worked there. "
91,"September 21, 2021",4,"Good work/life balance but frustrating bureaucracy and lack of standards My experience is within Ford R&A and has overall been quite good. The people I've worked with have been great and the workload is reasonable. One of my main complaints would be bureaucratic barriers to getting work done effectively and also the poor working relationship between powertrain research and the production side team. Additionally, there is little standardization in data processing techniques and tools and it makes for a very inefficient system, especially when getting new people up to speed."
92,"September 19, 2021",3,"Great Company clouded by poor middle management Very good place to start your career and experience a broad range of technologies and problems in the automotive industry. As you progress and start to tackle larger problems, the glaring structural weakness becomes apparent. Decision making is very slow and new ideas involve a lot of political maneuvering, i.e. partially present ideas without the problems to strategy when engineering doesn't agree. Management is way way way too hierarchical (think military) and are opaque on future direction, doubly so when they disagree with the approach. Compensation is average for Michigan, but when they want you to innovate/deliver like Silicon Valley, it is painfully lacking. "
93,"September 15, 2021",3,"Productive, poor management  Lacked management, vehicle’s are not the greatest. Too many duties very low pay, co workers will not perform their duties. Thus frustrated customers. "
94,"September 15, 2021",5,"Love working For Ford One of the best decision of life to work for Ford, amazing company with such good culture. This is the best place to work with lot of perks and life balance i will not be going anywhere"
95,"September 14, 2021",3,Longevity Over time you burn out from being undervalued & underpaid. Management went from cherry picking favorites for positions to outsourcing college kids completely overlooking their most loyal & dedicated employees. It's went from a career to just a check.
96,"September 13, 2021",4,"Great for long term Pros: Great for longer term of employment, Work from Home for the employees have some situationCons: - Limited Internal promotion and visionary opportunity- Less Standardized work practices"
97,"September 13, 2021",4,No room for advancement No room for advancement stagnant positions with no extra room for growthTypically family ties tend to get people higher A lot of things are changing 
98,"September 12, 2021",4,Not confident in management Overall it was a good place to work. Some of the Foreman were difficult and plenty of time off but only under emergency conditions. Parking was not very adequate.
99,"September 11, 2021",5,"Work life balance The best part of working at Ford is the work life balance. I like my project, and I really appreciate how supportive the people around me are.                                                                                      "
100,"September 11, 2021",1,The pay  Ford sucks but great benefits I don't recommend  u applying  hereThey don't know how to manage  They try to mess u over to fire you If u making money The more money u make more problem your involve in
101,"September 11, 2021",4,"Can be great...if you have good local management Overall enjoyed working here. Many challenging assignments and able to work with new technologies. Most of our senior management tended to understand the major issues and try to help. However, the direct management was not as helpful and would brush over major issues so many lingered for years. This was frustrating."
102,"September 11, 2021",4,"Overall good experience but with a few caveats. I enjoy what I do. Working hands on troubleshooting automation equipment used to build world class vehicles is excitin and it constantly challenges me and enables me to learn new things. The manufacturing culture at Ford does not support work/life balance. They claim they do but the constant schedule and shift changes with zero regard for your family life and childcare situations shows otherwise. The working level salary team atmosphere is great but upper management is very disconnected from ""the floor"" and only concerned with arts and charts/checking boxes. Which leads to little support when you need something to do your job or have a personal scheduling issue/concern. They are not open to suggestions or alternative solutions to problems and leave you with a ""take it or leave"" feeling which does not make you feel very valued as an employee."
103,"September 10, 2021",2,"It has it good days and bad The thing I like least is seniority rules. They treat the temps/new hires bad . The money you make in the beginning isn’t worth it makes you want to quit, I believe the only reason people stay is because of the benefits. You have to wait 2-3 to be hired in. Honestly plant life isn’t for everyone,so if you are use to the plant life it might be good for you but if not you’re going to quit! "
104,"September 10, 2021",3,"Easy job and cool coworkers Cool to work at, the jobs were easy and most of the coworkers was cool. They only hire in temps and it sucks, temps don’t get anything. Will leave dirty everyday "
105,"February 18, 2020",5,amazing work place great place to work the tech and management is extremely helpful and friendly. everyone seeks to help others succeed and working here has helped me out over and beyond.
106,"September 9, 2021",3,Good job dearborn truck Its was ok. Lots of joking around getting job done. Supervisor were constantly texting and calling personal contractors phone. Paint and engineering department. Long hours 
107,"September 8, 2021",1,Worst Job Ever Management screams at you like everything is your fault. The very unresponsive if it has to do with matters that don't concern them. Requesting time off is a simple process. Its just filling out a sheet of paper. The problems is Management waits until 2 days before the time you requested to approve it. 
108,"September 8, 2021",3,Pay is nice.. This job is not for everyone they have very long hrs and some people get the treatment and some do not.... The pay and bonus make it worth the time u are spending away from what u love tho.
109,"September 7, 2021",5,"Ford: A great place to make a good living and have a fulfilling career After working more than 20 years at Ford, I can say with certainty it is a great place to work and can recommend it highly to anyone. The workplace culture is definitely one of diversity and inclusion. Although that goal is never perfectly achieved in any company, Ford fosters that from the top, making it clear those are the values, and most live by it. It’s a very large international organization, so in many jobs you will interact with people from around the world, both in person and virtually. The vibe is casual, yet professional, with more than a little fun mixed in.The hardest part of the job is having to learn new things almost constantly, but then again you’re gaining new skills all the time, which keeps things interesting. Continuous improvement is a mantra at Ford and it happens on a daily basis.  Deadlines can be numerous and tight, depending on the position. Early in my career I often worked more than eight hours a day, sometimes by necessity, others times by choice. In recent years there has been more emphasis on work-life balance, and long days are now a rarity. The most enjoyable part of the job is the chance to work on interesting projects with a lot of talented, smart people with a wide range of skills, interests and backgrounds. Although it depends on your manager, most give you a lot of flexibility on how you do your job and encourage you to work on learning new skills. For many years I was given 4 hours a week to study anything of my choice I felt I could immediately apply to my current job or prepare me for my next job in the company.Management is"
110,"September 6, 2021",4,"I had the opportunity to work with very dedicated and hard working engineers. Overall a great place to work. Loved and appreciated my co-workers, we always worked as a team. Learned something new just about every day.   The only down sides were certain supervisors would hold you back from promotional opportunities if it served their best interest to do so. Also, during my 30 years the direction and vision of the company would change radically with every new CEO. "
111,"September 2, 2021",1,Dont do it  Ford It’s very strenuous and they don’t care about your personal problems they will fire you if you can’t come in on a Saturday because I have a family emergency they will tell you know you have to be here
112,"August 31, 2021",2,"Good pay and benefits, but bad work environment Shifts start at 6am or 6pm and go 8 - 11.5 hours. You won't know what time you are getting off until after lunch. Breaks are 15 min every 2 hours with a 30 minute lunch. Have to push a button and wait to get a bathroom break between breaks if needed. Work is boring and tiring. Putting parts on cars everyday all day running up to 80+ an hour. Reaches over 100 in the summer inside plant, but don't worry you get a fan to blow hot air on you to keep you cool. Not to mention 2 free gatorades if it gets over 90. (As long as the machines aren't empty.)Lots of favoritism between teams, supervisors, and union. Some people walk around all day doing nothing, while others are running their buts off to keep up with the line. Some people can miss multiple days no problem, while others miss once and end up in labor. However pay is great after you work 3 years as a temp at $15/hr( can be let go at any time during this period) then maybe, depending on the contract you hire in under, you might hit $30/hr and get your benefits a few years after. (Unless contract changes again.)No pension anymore, either working 60+ hours a week or barely 40. Just depends on trends in market. Overall not a great place to work anymore. Can make a little less and have better quality of life at other places around town.  "
113,"August 31, 2021",1,Save yourself the trouble  Terrible. Disaster. Do not work here. Zero professional development. The culture is terrible unless you are a favorite. Lots of stress and micromanagement. Your work isn't valued nor appreciated. Non communication between workers & supervisors. It was the worst experience I have ever had. Management is not trained for their jobs. The managers are so lost it takes a lot of time and effort to make them understand the simplest processes and functions. Management has no clue how to run anything. The company is overly micro-managed and has no structure of people who know what they are doing or how things should be ran. Higher up workers treat us as if we are scum. People who are in the favorite pool get away with everything under the sun and others are disciplined
114,"August 31, 2021",4,"Engaging atmposphere with positive work results Engaging atmposphere with positive work results. Nice job environment, friendly staff that were very helpful. Management was always friendly and helpful too."
115,"August 31, 2021",5,"Great company with great products Loved my time at Ford Motor Company.  I was valued by our group's leadership and given opportunities to deliver on our PT NVH goals and objectives.  The work was challenging but rewarding.  We had a great time with a number of group outings and get togethers (Tigers game, global pot luck, seasonal parties, etc.)  Loved that it was an engineering driven company and not a marketing driven company.  Great technical and product roadmaps for delivering winning mobility solutions."
116,"August 29, 2021",3,"Good people, bad management A lot of times upper management does not listen to things that the employees under them have to say. You hire staff to bring new ideas to the organization. So why aren't you probing for and listening to those ideas? Give your employees a chance to make decision and shine and stop guilt tripping employees because they can't get a complex problem fixed in a millisecond. "
117,"August 28, 2021",4,Great career opportunity  The hours were flexible and the work was not too hard. Training was extensive and co workers were cool. It was a fun place to work and a good start to a career opportunity. 
118,"August 27, 2021",2,"Health insurance, pay The pay is good, the health insurance is good and benefits are good. But the work is long hours heavy, repetitious and extremely hard on your body. You will need to work on your feet long periods of time. Bending twisting, lifting, and work with power pneumatic tools."
119,"August 27, 2021",1,terrible establishment  LITERALLY DO NOT EVER WORK HERE. worst place ever. terrible. disaster. do not treat employees like humans. temp for basically 3 years before benefits.
120,"August 25, 2021",1,"So/So Stressful! Want you to treat customers like family, but make certain marks! Which makes it hard when they have things that take time! Micromanaging is the worse! And I’ve been in customer service since I was 17!!!! Upper management doesn’t care! Bout their employees "
121,"August 25, 2021",4,Great place to work A great place to work. Lots of equipment to learn. A lot of processes to learn as an electrician. Little help from supervision. Some of my union brothers will not help you to learn the job without a bad attitude and want to treat you like an apprentice and not a journeyman just because you are new to Ford.
122,"August 24, 2021",4,Interaction and input across management levels I interact and report out daily to multiple management levels. My input and expertise is valued and respected in my role. I have to support and guidance needed to succeed. The only resource I would say my team is lacking is additional engineers.
123,"August 19, 2021",2,"Production supervisor  Being a production supervisor at this company is really awful. supervisors are at the bottom of the barrel. no one cares about you, and safety sucked."
