,Date,Stars,Review
10, 4 months ago,5,Great vehicle! Toyota is a great car company and they produce reliable vehicles that last. I have an 08 RAV4 and I haven’t had it break down on me yet. This vehicle has made me a Toyota person.
11, 5 months ago,5,omg I have 05 toyota camry and it is amazing I wouldn't have any other vehicle. great on gas and lasts forever so roomy. I just love it and it was a very reasonable price I would definitely recommend
12, 5 months ago,5,"I love my Camry hybrid.  It is so quiet and spacious for me and my family.  One of my favorite things is the seat warmer.  This car is pretty affordable.  I wanted to get an electric car, but a lot of them were way out of my price range.  This car is a good compromise and I’ve had it for 11 years now and have driven it all over the country.  It gets great gas mileage."
13, 5 months ago,5,Me gusta mucho mi carro buena marca además cómodo espaciosos sus colores bellos lo recomiendo
14, 5 months ago,5,"Love my 2021 Highlander XLE! The seats are extremely comfortable, it feels high tech, still a decent trunk even with the third row up, love all the seating. The gas mileage could be better, but it's decent for a big SUV"
15,5 months ago,5,I’ve had my Corolla for a few years now and I absolutely love it. It has wonderful gas mileage and is a nice size for young drivers especially as a first car.
16, 5 months ago,5,"I purchased my first new car in 2013 and it was the Prius V. I love this car - the mileage isn’t quite as amazing as advertised, but given I’m in Canada and have the heater blasting for at least 5 months and the AC for 2, it’s not surprising. It is still nice to only have to fill up every 2 weeks or so (or every 5 months during lockdown😂) and the 45L tank size makes that gas bill easier to swallow. This car has tonnes of room. I’ve taken all the supplies - food, crafts, gear for 20 Girl Guides to camp and still had room for me, my daughter and our personal gear. I am sad they discontinued the V line, I would easily consider another for my next vehicle. #hybrid #car #automotive"
17,5 months ago,5,I have my Toyota car -Matrix for 11 years now and it’s still going. I’m so impressed that I have to give it a good review. It is so economical in terms of gas consumption. I like the trunk space and utilize it so much from groceries to Christmas trees and so much more. The service at the dealership when I bring my car for oil/tire change (and other routine services) is great. The staffs are nice and accommodating. I’m hoping for a lot more years with my car. Definitely considering another Toyota when a replacement is needed.
18, 5 months ago,5,"I bought my Corolla at the start of 2018 and absolutely love it. I desperately needed a new car and the dealership worked so hard helping me purchase it. It’s been incredibly reliable, excellent on gas and drives great. I couldn’t be happier!"
19, 6 months ago,5,"The perfect small car! If you want something that is cute, reliable, good on gas and can still manage to fit a lot of cargo, then this is a great pick! It doesn’t come with a ton of bells and whistles, but I do have a touch screen and sport mode which is fun…but lets me honest we buy cars like these because they are a great value and will never let you down. It doesn’t have a to. If power though so if you want to accelerate really quickly you might find it lacking, but for every day driving it’s perfect!"
20, 6 months ago,5,"Smooth ride, reliable build, excellent warranty and easy on the eyes.  Smoother ride than the Rav4 or the 4-Runner, and nice and roomy.  They also hold their value better than most other brands."
21, 6 months ago,5,"Dependability meets style! I have owned two different RAV4’s and I have loved both. They are zippy but good on gas, spacious enough to load furniture but small enough to easily park. It’s the Goldilocks of small SUVs! What I love most is how reliable it is, because it’s Toyota I know I don’t have to worry about it lasting, and I know it will retain its value."
22, 6 months ago,5,I love the brand and its products have been using them for years and their quality is second to none.  All their products are the best
23, 6 months ago,5,I love the brand and its products have been using them for years and their quality is second to none.  All their products are the best
24, 6 months ago,3,I bought a brand new 2020 rav4 hybrid and at first I loved it but there are a lot things that need to be fixed. I have hit 2 deer in 6 months both major accidents and while the car did well in both accidents in keeping everyone safe at high speeds I believe I have hit the deer because the car is just too quiet. If you live in a rural area with a lot of deer or commute through areas like that I would not suggest this car. The gas mileage is great I averaged around 40-45 on daily work commutes and around 33 on highway. The seat does not go back far enough. I am 5’6 and max out the leg room. My bf who is 6’2 hates driving in it because of this and how small it feels inside. It needs a little more power the cruise control has trouble staying at the speed you set to. The remote start worked like 3x and never again and you have to pay for the app to have that luxury. A key fob would work much better for the remote start instead of an app. It drives smoothly but the quiet of the engine will make me never want to drive it again in fear more animals will run out in front of me.
25, 6 months ago,4,It’s very comfortable and has wonderful power. Gets good mpg even when fully loaded. The car has a great amount of technology in it and is a smooth ride. Great SUV overall.
26, 6 months ago,4,"This car is perfect for a couple, has great technology, gets roughly 30mpg, very comfy bucket seats, needs more in the power spectrum for my taste. The car was a good price for what you get. It has been very reliable so far with no major problems and I’m at 85,000 miles."
27, 6 months ago,5,"I’m gonna give these a 5 star. I’ve never owned one myself but I have friends and family who have and even the old ones are still being driven today! I’ve always seen that these cars are good quality and last a very long time when taken care of, and I have 2 different friends who have been in wrecks in this vehicle and it was so much safer for them than another car would have been. I think this is a great car to have. ESP for a first time driver needing a reliable and safe vehicle. Corollas and Camry’s are the go to!"
28,6 months ago,4,My son bought a 2021 Toyota Corolla it is a great car and has lots of nice features. It's a beautiful design spacious backseat midsize trunk. The only thing that I dislike about the car is that it does not have the light on the side  mirrors that tells you when someone's in your blind spot.
29, 6 months ago,5,"Toyota products are the bomb! We have owned two corollas, a prius and a matrix! Next up will be a 4x4 now that our family is bigger. Upper James Toyota in Hamilton, Ontario is the place to find your (next) Toyota - they treat you like family!"
30, 6 months ago,5,"I think this car is 💯 awesome!!! We just got it. It’s a 2018 and drives like a dream. I don’t know much about cars, so I’ll just tell you from my point of view. Apparently it gets 50 mpg on the Highway. It uses unleaded gas and does not have to be plugged in. It comes with all the little luxuries of a new car. My favorite is the backup screen on the console. Now I’m speechless. I don’t have enough knowledge to sell a car. But that’s not my job here. Someone did that for us. I can say that I think it was pretty expensive ( maybe not). $23,000. I did learn from the dealership that all of the dealerships will be selling Hybrids only. That might take awhile, but we thought we’d better join in. That’s all I have.  I promise if you drive one, you’ll fall in love"
31, 6 months ago,5,"I have a 2007 4Runner and the best of the best is Toyota.  They are comfortable, cute and durable.  Love it.  It is spacious, spacious, requires almost no maintenance and is a top quality vehicle"
32, 7 months ago,5,Good drive while renting it. Easy to drive but not very cheap as spends a lot of gas. Would. Not own but just rent again. Needs to be more smooth as it is a little hard.
33, 7 months ago,5,I loved it when I rented one for a business trip a few years ago! I loved that it was a smooth drive and didn’t have any issues with it! It was great on gas and it was amazing operating it! I want to buy one one day because I fell in love with it!
34, 7 months ago,5,"I have a older model hybrid and I absolutely love this car!! It’s great on gas mileage, has plenty of room for multiple passages and I’ve taken it on several out of state trips. At almost 200 K miles and it’s still doing well. I would love to upgrade to a newer model at some point because that’s how much I love this!"
35, 7 months ago,5,"This car is big enough for 5 people family and  consumes less gas comparing with same sized car, and of course it has a good ride.   Camry is affordable, and even one of my friends sold this one with good price."
36, 7 months ago,5,"I love our highlander! It runs great and has lots of space. We purchased the limited so we could get bucket seats in the middle row. The one thing I would improve would be the electronics, we had to replace ours within the first 2 years and now it looks like it’s breaking again."
37, 7 months ago,5,"Best purchase ever! I love the style, the look, how it drives ...everything about my truck!!!"
38, 7 months ago,5,Absolutely love Toyota and me Camry. I love how it drives and looks. Get my moneys worth every time.
39, 7 months ago,5,Absolutely love my 2012 Toyota RAV! Keeping it until it runs to the ground- in another 15 years!
40, 7 months ago,5,"Using it for business andbfamily. Very convenient, has a lot of space available, could sit 8 people with a baggage space. Good quality. Relatively economical gas usage. Recommend getting it with the sunroof."
41, 7 months ago,5,"I traded in my 2014 Nissan Altima for my 2019 V6 Camry and I feel like royalty! This thing is so nice! It has everything I need and want- leather heated seats, moon roof, birds eye view cameras, all of it!! Plus the sound system is 😻"
42,7 months ago,4,I used to love this! There was so much room for everyone to fit comfortably in it! It had a good ride and I used to love the window blinds on the middle and back row seats! It would block the sun out very well!
43, 8 months ago,5,"I have a 2006 Toyota Prius. Currently has around 186K miles on it. Drives smooth, sounds great. I’ve never had any issues, just kept up on routine maintenance. I LOVE MY CAR!!!Toyota Prius"
44, 8 months ago,5,"Such an awesome little sedan. So Broome, so comfortable to ride in for long distance, Extremely durable long lasting vehicle’s. You’ll never have a problem￼Out of this vehicle."
45, 8 months ago,5,"I absolutely love Toyota Vehicles. I have had three Toyota forerunner’s. And they have been my absolute best car I’ve ever owned. They are amazing vehicles. You can run them forever without having to work on them at all for anything. Never had a mechanical issue at all ever. Great on gas. Durable, super safe, you cannot ask for a better vehicle￼"
46,8 months ago,5,I love this car I want this car #toyota rav4 I want to get this car 😁😁😁😁😁😁😁😁🥰🥰🥰🥰🥰🥰🥰🥰
47, 8 months ago,5,"It is super spacious. Well designed!!! Only had been in for a ride, buy seems a good car to drive. I would consider buying"
48, 8 months ago,5,This was the first brand new car that I have ever owned and I absolutely love it! There are so many safety features that I really enjoy and that help me to be a safer driver. I definitely recommend this SUV!
49,8 months ago,3,"This car is a speedy little thing around and having the ability to get it hybrid is amazing, I would improve this product with its screen display to become more touch sensitive I would defiantly recommend"
50, 8 months ago,5,"I absolutely love my Rav 4 smoothest ride, great gas mileage and looks great. There are different tiers for all the bells and whistles. I have the limited and it was a great value for the price. Would totally recommend."
51, 8 months ago,4,"I love this car other than the fact that it takes to drive me.  I have the 2017 model, which I love because it has a cd player.
Pros:  monitors when you go over the lane, great on gas, purchased with two miles, and it hasn't had any problems.
Cons: It doesn't accelerate quickly; it drives you (when cruise control is on and you cross the line).  They are changing the highways where I live."
52, 8 months ago,5,I love my RAV4! It’s really spacious for a small SUV and rides well. I also really like the infotainment system!
53, 8 months ago,5,"I love my Corolla!!
I inherited it from my mom and it's almost 11 years old with less than 67,000 km
There's a few dings on the body, but it still runs beautifully
It should last me a long long time"
54, 8 months ago,5,We just got this during covid. It was great because they dropped it off to us so we could sign papers and all that. We traded in our highlander for the rav4 because we want to go off roading a little bit. So far this has worked our fantastically. The trunk has enough storage for us too. We are enjoying our new smaller suv.
55, 8 months ago,5,"I just recently leased a 2021 Toyota Highlander and I am in love! The roominess is perfect for all my things I need for my son, but I love that it still feels like an SUV rather than a van. It drives so smoothly, and the base model has some amazing features! Highly recommend!"
56, 8 months ago,5,Good car has served me well.  Not much to complain about.  It drives well and hasn’t required many repairs over the years.
57, 8 months ago,5,We have driven Toyota products since or 1981 Tercel. Including Corrolla's and now the Sienna. It is our second Sienna and we couldn't be happier. Able to seat 8 comfortably and pull our tent trailer with ease. Minimal service requirements.
58, 8 months ago,5,"Seriously the best SUV. I love that the back windows rolls down, both rows of seats (if you have 3 rows) fold flat, so much storage, easy to drive and will last you forever."
59, 8 months ago,4,I love my 2011 Toyota Camry! You can't go wrong with a Toyota they will last forever!! Rides so smooth an quiet.
60, 8 months ago,5,I own a 2015 Prius and bought it brand new. It has been a fantastic experience extremely reliable. My only complaint is how low to the ground. I hope eventually trade up for a Toyota Hybrid SUV. I don't understand the fanfare for electric vehicles this Hybrid is the best of both worlds. Love having unlimited range and affordable fill ups.
61,9 months ago,5,I love my Camry. Reliable car. Would definitely recommend. As long as you keep maintenance on it it will last a very long time.
62, 9 months ago,5,All the cars my husband buys are Toyota because they are reliable and also made in Japan. We currently owned a Toyota 4 runner. We’ve had the car for over 10 years.
63, 9 months ago,5,"This car has taken me to over 100k miles with little maintenance. Simple, and just what you need. Would love to see some more comfortable drivers seats as I spend a lot of hours in my car"
64, 9 months ago,5,"I have been using it for 2 years but it’s still working fine. Very very spacious and good function, petrol-saving and many many more. I would recommend it for a family car because it’s comfortable for both driver and sitters."
65, 9 months ago,5,"The best vehicle that I have ever owned. I know it's a minivan and it's not cool.  My Toyota Sienna SE is my family hauler.  I all love that I can fit 8 people safely. I have a family of 7 so this is a must for any big family. So you may be wondering how it handles. Surprisingly for a larger vehicle, it handles great. I bought mine new in 2011 and it's still on the road all these years later. "
66, 9 months ago,5,"The Toyota Siennais spacious The Toyota Sienna is one of the most recognizable minivans on the market. This is due in no small part to the ""Swagger Wagon"" ads that defined the last-generation model early in its life cycle. Though the quirky marketing — and Toyota's reputation for above-average reliability — helped carry the previous Sienna for nearly a decade, a new minivan would need more than a rapping family to connect with modern buyers"
67, 9 months ago,5,I have an older version of this car and it is simply great. It saves you money on gasoline. It drives smoothly. It is comfortable. It is not expensive if your looking for a newer version because it’s a Toyota. I recommend it to others.
68, 9 months ago,5,These are also gas economic.. again a lot of leg and elbow space for all 4 passengers and driver. Spacious trunk and really is a reliable car
69,9 months ago,4,"Driving experience. ... As for the transmission, this version is equipped with a CVT gearbox. In terms of handling, the Yaris offers a simple experience without much movement and with acceptable performance for a city car."
70, 9 months ago,5,"I love my 4Runner. Toyota keeps things very basic which is great...less things to break. Very comfortable to ride in long distances. The leather is durable.

Only issue I have is the back up camera has a short in the electric and doesn’t work sometimes."
71,9 months ago,3,Lots of luxuries and lots of space. Really love this SUV.  Perfect to haul the kods to soccer practice yet practical enough to take for a drive by myself without the worry of an  expensive gas bill. For a larger size SUV it gets great gas mileage and I will be purchasing the same make and model soon.
72, 9 months ago,5,We used to have Toyota Sienna . It is a very good car to drive. A family with few children it should be a good choice. Lots of space in the trunk. But some parts breaks too fast and you need to spend money for repairs.Besides it is very expensive to buy but if someone can afford it I would recommend Toyota Sienna  this car.
73, 9 months ago,5,"I love my Corolla! Dependable, low maintenance, low fuel costs, comfortable ride. Lasts forever driving well if maintenance is done properly."
74, 9 months ago,5,"This a good product, good price, lasts quite good for the family, it is quite good, lasts a long time for the whole family, for those who want to have a product that lasts a long time at home is very good."
75, 9 months ago,5,"Love love this model car!! As a begging car is great cause its small and amazing in gas!! I live out in the country and the gas tank would last me two weeks driving into town on week days for work the drive was 45 min ti and hour long. Love loved this car, wish i could get it again."
76, 9 months ago,5,La marca toyota es la marca de confianza de cualquier familia es una camioneta cómoda amblia con asientos de piel sus sistema automotriz es la mejor
77,9 months ago,3,"As far as dependability and looks I give the Celica an A+!  But for space and functionality, it was not the car for me. There is no room Whatsoever in the back seat and forget buying groceries relying on the truck to hold them. Smallest trunk space I have ever seen.  If you have children or even frequent passengers in your car, this is not your best option."
78, 9 months ago,5,"Toyotas are amazing reliable.vehicles.

My favorite thing to do is to.  Build my own all the time. And see what dreams can happen"
79,9 months ago,5,I had a Toyota Corolla for many years and loved it! Handled decently in the snow and enough space for me at the time. Didn't have any major issues with it until the end of it's life and I decided to get something bigger. I'd recommend it as a good starter car that will last a while.
80, 9 months ago,5,I have rented this vehicle Toyota RAV4  to travel a couple of times. It was very good on gas. Also it was a smooth ride.
81, 9 months ago,5,"I have had this car since 2016. Very reliable and durable. I am selling it, though, for a bigger car for my family."
82, 9 months ago,4,Energy efficient wow. My boyfriend has a 2010 Prius and the car was great for so many roadtrips. One downside is it wasn’t great in snow
83, 9 months ago,5,"The Toyota Prius is a great car! It has an engine that when your car is running but not mobile, it actually charges the car battery. That’s not it! The battery makes it so you can’t hear a sound when starting your car- the battery makes the car electric! I love that the seats fold down for extra room and the hatchback makes bringing your stuff somewhere easy. Love the sound from my iPhone playing in the radio as well! I love this car- I usually drive it like it’s a go kart or something because it hugs the road so well."
84, 9 months ago,5,Great car I love it drive nice I definitely will recommend this car to someone who is looking for a car
85, 9 months ago,5,"This baby right here is my best friend. It’s the perfect mom car, town bar, party car, mountain road car, road tripping car, quick trip car, whatever, you name it! To make it even better, I’ve ran into a ton of curbs while parking and my boyfriend has never found out because it’s sturdy af. I literally got a giant piece of metal lodged underneath the hood somehow while driving down the highway- and this thing STILL drove at near perfect condition aside from a weird noise. The Toyota Corolla ladies and gentlemen."
86, 9 months ago,4,j'aime beaucoup cette marque. Elle est très confortable et agréable à conduire. Elle a beaucoup d'options.
87, 9 months ago,5,I have used Camrys my entire driving life. My first car was one and my last car will be too. I have had only two cars not a Camry and I was happy to get my baby back. They have saved my life at least 2 times so far that alone is worth it. I am not happy its been totaled out twice when someone tired to push me off the road which is common here where I live sadly. When they do the Camry protected me and I was able to walk away both times which paramedics were shocked I was able to. Just dont sit too close to the wheel. the airbags pop out and are known to break your face and bust your teeth out. I was spared my face but lost a tooth. That was costly and unexpected. I will always buy Toyota and always recommend it to everyone. Reliable car. Amazing. 
88, 9 months ago,5,"The Toyota Camry is a great car. This car is very safe and fun to drive. I was very impressed with the ease of the cars driving. The gas mileage was outstanding and I would definitely own another one and I highly recommend this car to my family and friends, as a matter of fact I recommend this car to everyone that needs and wants a very dependable lasting car!"
89, 9 months ago,5,"Love my car so much, I bought is brand new in 2017 and it's still in awesome condition. Heated seats/steering wheel. Only thing it's lacking is cooling seats, would be so much better in summer time!! I got the color purple, I love it! Haha although the stitching inside the car is orange... like why, I'm going to change it. I've never had anything wrong with the vehicle at all, works amazing."
90, 9 months ago,5,Loved our Toyota Camry!! Was a hand me down from my aunt-we used it for about five years-by then the car was almost 20 years old!! Passed it onto a friend when we got our Honda Odyssey. She’s still going strong!!  Love Toyota’s.
91, 9 months ago,4,"I love Toyota! They have great customer service and the cars are durable, gas efficient, very up to date on technology and have a sleek modern look."
92, 9 months ago,5,I have a 2009 Rav 4. Her name is Shelly and she has about 200k miles on her. We’ve been through a lot together and she’s been a very reliable girly.
93, 9 months ago,5,"I love my 4 runner!!  It’s fun to drive!! I bought big tires, fancy rims, tinted the windows, running boards and other accessories have made it very sharp looking!! I get compliments daily ❤️"
94, 9 months ago,5,"Este auto me encanta, es súper a todo terreno  y la verdad el espacio es extraordinario  en mi familia funciona muy bien ya que somos 5."
95, 9 months ago,5,"Our Toyota 4Runner was purchased over ten years ago and still runs like it did on day one. It provides a ton of space for family trips, while maintaining a very smooth drive. I have felt quite uncomfortable driving larger or too-heavy vehicles in the past, but this SUV handles just as well as our sedan."
96, 9 months ago,5,"Our Toyota Prius has been such a wonderful purchase. The gas/electric hybrid saves us a ton on fuel costs, and the car drives like a dream, especially on long road trips."
97, 9 months ago,5,Es muy buen carro  me encanta esta marca son muy buenos y duran mucho casi no nesecito mucho pata reparar so lo nesezario
98, 9 months ago,5,"Loved it. Had it for over 10 years and 300,000 miles! They last forever with proper maintenance."
99, 9 months ago,5,I have replaced a lot on it and it seems to be better after putting 20000 miles on it in 7 months! I drive it a lot and it never causes me any problems!
100, 9 months ago,4,I do not personally own this vehicle but I have rented one. It’s small but comfy and nice. Good on gas!
101, 9 months ago,4,I do not personally own this vehicle but I have several friends that do and I have rented one. It’s nice but there are similar competitor SUVs that ride more smooth and are more comfortable.
102, 9 months ago,5,Beautiful car! I do not personally own one but I have several friends that do and I have been in them. Rides well. Comfortable.
103, 9 months ago,5,Rides great for a 2007 and when you do the up keep the car will last you a long time. My husband maintains his car and does everything he needs to. Great on gas.
104, 9 months ago,2,"It’s ok. I purchased new 2012 Corolla and it drove very smoothly. I liked the comfortable feeling and the amount of space inside the vehicle. The downside is that on the second year of my ownership the trim around the front tire started poking out. Not only was it just my vehicle, I saw a few others with the same issue. They are not the best built but they run really good."
105, 9 months ago,5,This has been our favorite vehicle purchase.  The only issue we have is the third row is smaller and not as comfortable for longer rides.  Toyota Highlander
106, 9 months ago,5,"I love my Toyota Prius! Great on mileage and has a comfy interior. The exterior has slick lines, backup camera and so many bells and whistles. This car is worth it’s price, you will save so much in gas money and with ￼maintenance."
107, 9 months ago,5,My dad and stepmom have a Highlander. It is very comfortable and has a roomy back seat. Lots of trunk space.
108, 9 months ago,5,We absolutely love this car. Very comfortable to drive. My family of 4 fits very comfortably. We got one with a third row of seats which is great when my kids have friends riding with us. But just like most 3 row SUVs there is very little trunk room when the 3rd row is up.
109, 9 months ago,5,"Not a lot of road noise, has a back up camera, and comes with Sirius radio. Smooth driving and comfortable."
110, 9 months ago,5,"Love my matrix! This thing is a tank and I will keep it until it is unfixable. It’s comfortable, plenty of space, very efficient on gas and minimal upkeep needed."
111, 9 months ago,5,Miss my Camry had great trunk space and was a cozy drive. Had great gas mileage and ran like a champ never had any problems
112, 9 months ago,5,"Wao este es el auto de mis sueños 😍 tuve la oportunidad de conducir uno y es genial aparte de que Toyota es una de las mejores marcas de automóvil, son todo terreno y además es muy lujoso 😍 me encanta es uno de mis favoritos 😍 este sería el auto que a mí me gustaría"
113, 9 months ago,5,LOVE my RAV4! It drive me great. I’ve had no issues with it. It’s safe and also has the right amount of room. Perfect car for a small family.
114, 9 months ago,5,"Of course I love my car so much, I bought from 2012 until now, everything is still good, driving so smooth, less maintenance, cheap service, comfortable for driving around Australia (i have been driving n my car for Mel to Queensland . Love it. Highly recommended for family car ( Toyota Camry Grande 2012)"
115, 9 months ago,5,This is the second Toyota I’ve owned and never have had any issues with the car at all. I have the Corolla sport and get great gas mileage. All the perks and the customer service is always been over the top. Thank you Toyota Corolla
116, 9 months ago,5,Love my Camry. It's good on gas. Has a lot of leg room. Comfortable seating. It's a great family car for a mom of boys. It has the heated seats which i love in this cold -10 weather. Heats up fast too. Needs a little weight in the trunk on snowy days.
117, 9 months ago,4,Toyota Highlander has been a good fit for us with 2 car seats. We wanted the 3rd car seat to work in the last row but it really doesn’t work well.
118,9 months ago,5,The Toyota Corolla was my first car. It’s a great car to start very safe and efficient. Absolutely love having cruise control and sensors it really made a difference on the road.
119, 9 months ago,5,"I would say Toyota is a great brand for car, it lasts a long time, very easy to drive, compact, their nice looking cars  inhave to say I will always buy Toyota"
120, 9 months ago,5,I absolutely LOVE my 4 Runner. Best choice I ever made. It is exactly what I was looking for and hundred percent my style. The only thing it is missing is a heated steering wheel.
121, 9 months ago,5,"I drove a Camry as a rental car for a work trip, and I really think they are very nice cars, great midsize, all up to date safety features, very comfortable car."
122, 9 months ago,5,"Love my car! Always feel safe, love the features, and gas mileage. The cushions are very comfortable and it's very spacious."
123, 9 months ago,5,This truck i purchase in 2015 right now its have 181k miles and believe me its has nothing any problem  i just change break pads and break disk thats it still lovely
124, 9 months ago,5,I absolutely love this car! It’s by far my favorite vehicle I’ve ever owned. Great gas mileage and a smooth riding car. It drives like a dream. Never going back.
125, 9 months ago,5,I love my Camry it’s the absolute perfect little family vehicle however one day I’d like to upgrade to the 4 runner for my family it’s been my dream car since before I was old enough to drive
126, 9 months ago,5,"Es un auto súper cómodo,😊 solo tenemos 3 años para comprarlo, todavía no tengo quejas al respecto.Lo recomiendo y más obviamente por el marcq Toyota es una marca reconocida en autos y eso es importante para comprar siempre lo mejor. Love ❤️"
127, 9 months ago,4,"My car is a hybrid, and as expected the gas mileage is great. I have had some issues with the tires losing air a lot, but it is an older car, 2007. It also is not as practical in the Chicago winters, but at other times it is great."
128, 9 months ago,5,My son owns a Toyota Camry in their beautiful color Blue.  It is fuel efficient and a very comfortable ride.  
129, 9 months ago,5,I've had my Toyota Highlander for a couple of years.  I have been pleased with every aspect of it.  I have it serviced regularly and plan for it to last me for a very long time.
130, 9 months ago,4,We use this vehicle for commuting purposes and it’s reliable. It does well on gas and doesn’t take a lot to fill up. Would definitely recommend if you’re looking for a good commuting vehicle.
131, 9 months ago,5,Toyota’s are always and I mean always reliable I highly recommend them if you can buy it
132, 9 months ago,5,I must say Toyotas are very reliable I’m happy to have a highlander very spacious. I recommend a Toyota to every friend that ask me what type of car or truck they should get and I hands down say. Get yourself a Toyota your not going to regret it!!!
133, 9 months ago,4,Decent  vehicle .  Good  in  the  snow and  rain .   Nice 6  speed  transmission .  Quiet .  TONS  of  room .  Sits  high .   Had  no  issues  with  it  except  changing  the  oil and  spark  plugs.   Only  issues  is  it  it's  tippy  and  plays  turtle ... downside   Hard  to  find  a  good manual  trans  with  low  KM .
134, 9 months ago,5,A good car that has an understandable price. This car is really low on fuel consumption and it handles really good. A car that perfect for learner and also for a small daily that can take your family from A to B safely
135, 9 months ago,3,Very attractive but rides rough. For traveling long distance I wouldn’t choose this. Definitely a sporty vehicle
136, 9 months ago,5,So comfortable drives so smooth and roomy inside and trunk. I used to have a camry and I loved it. You can put so many miles on it as lobg as you maintain it!
137, 9 months ago,4,I really like the midsize suv that can sit 6-7 people. This car drives smooth and it has a sleek design. It’s a great family car with good style.
138, 9 months ago,4,"I owned a Toyota Camary back in 2007.  The vehicle was pretty affordable and very spacious.  This absolutely needed at the time as I wanted my daughter to be comfortable in the backseat.  While I haven't driven a Toyota in several years, it is a car that I would highly recommend."
139, 9 months ago,5,My mother actually owns this car and she absolutely loves it! Personally I like it a lot too! It’s great in the snow also which is important
140, 9 months ago,5,"Great commuter, great fuel mileage   Sporty, I didn’t like how the screen set above the dash"
141, 9 months ago,5,"I love my 2020 hybrid Camry. This is not my first Camry, but it is my first hybrid. I love the comfort of this car"
142, 9 months ago,5,Best car I’ve ever owned!  Great gas mileage.  Never an issue with the car only scheduled maintenance.  I get stopped all the time with questions about my cute car.
143, 9 months ago,5,"I love my mini van swagger wagon! It came highly rated on consumer reports for safety and performance, plus has a lot of added bonuses that really fit our family."
144, 9 months ago,5,This car is amazing one of my favorite cars definitely have been sticking to Toyota’s they are best on gas and price
145, 9 months ago,4,Not my favorite car but still fuel efficient. And runs smooth. Has great cargo space
146,9 months ago,5,"Wow toyota corolla, es sueño de todas creo yo,, al menos el mio,, sería un sueño tener esta maravilla es muy hermoso yo recomiendo  Toyota Corolla"
147, 9 months ago,5,My car is a 2016 Toyota Corolla. I bought this car while in college. It’s great on gas and easy to maintain. It has deep trunk space and has room for a donut spare tire.
148,9 months ago,5,I love my Camry! Incredibly reliable!! Never had any issues with my car! It’s a great all around vehicle to own.
149, 9 months ago,5,I was a passenger but it drove nice. Almost bought one myself but I am a chev girl. It was an older model but still was nice.
