date,rating,review
2009-02-03,4.0,"The Toyota Way is mostly the Right Way. The spread of Knowledge and the extensive learning of the Toyota Way.  You are taught about lean manufacturing and the importance of cost savings.  By working for Toyota you are expanding the number of other companies that are interested in hiring you.  Other companies want to hire you based on your experience within Toyota, it pays off!  Very friendly people that work hard together to get the task at hand done.  Toyota is leading the way for future vehicles, including many high mpg cars in their new lineup.  They understand where the automotive industry is going and working hard to be the leader.Because of the continuous improvement scheme they have, it is often times very frustrating to get work done.  So many people need to see your paper work and sign off on it that it may take days for this process to happen.  Day to day work seems boring and the same, this of course depends on what department you work in.  Since the company is Japanese owned you will have Japanese managers.  This poses several problems including communication issues.  You will have to learn to understand japanish speak very quickly.  Moving up in the company seems slow, but then again I have not had much experience."
2009-02-20,2.0,"Great plant but has a lot of growing up to do. Great nonexempt workforce.  Never had a more satisfying experience than working with the T/M's that build the product.Toyota as a whole is built on good fundamentals and the experience is challenging.This is the second Toyota Manufacturing Plant I have worked at.  Regarding TMMI, I feel the exempt culture at this plant is missshaped compared to other Toyota facilities working the Toyota Way.I notice that the relationship between Managers/A.M.s and Specialists is quite heavyhanded if not adversarial at times.  This is really evident in their H.R. policies which are very conservative compared to other plants and lack any definition or flexibility.  H.R. policies at this plant are applied very inconsistently.Leadership communication is usually one way and very top down.  TMMI middle managers are very perception driven and I see terrific opportunities wasted because of politics and narrow focus.  Again not typical of other Toyota plants.  I see rush to judgement and reaction that is often not thought through.  This only serves to tear down the stability of the processes and not strengthen them.This plant has an excellent professional workforce but I see the Specialists often spun in every direction with little opportunity to give their work the time required to do it right with a lasting contribution. Very high expectations placed on Specialists here with very few rewards.On the whole, this plant has it's priorities straight on the floor and builds good product but in the office culture has a lot of growing left to do.  I see this management team having benefited from years of good sales and not really knowing if what they did all these years served the better purpose or not."
2009-02-21,5.0,"Times are tough.... but it could be so much worse in these tough economic times we've all seen changes and cut backs... but, Toyota is the only major corporation that I've noticed (especially automotive) that the executives are taking cuts in their compensation packages... they don't expect just the little guys to take the brunt of the tough times... we truly are a team!it's like a small town in itself... and along with small towns, there are both good and bad aspects.  But, everyone knows everyone and that's not always good!"
2009-02-23,3.0,"Mediocre TMMI offers great benefits, however when I first started the company all health benefits at no cost. Then they started charging a small amount and have since raised the amount a little more. The benefits are great and cover most expenses. Toyota as a company has a great track record for high job security. They just recently offered the 2nd buyout offer since Toyota has been in the US.Currently there is a global hiring freeze and little to no chance of advancement. This is very discouraging when you had hopes of moving up the corporate ladder. I would also recommend senior management to lead more by example. Less meetings and more face time with the team members."
2009-04-15,4.0,"Toyota: A Good Place to Work The people that work for Toyota Motor Sales are great people who care about their colleagues.  Working for Toyota Motor Sales has shown me what a true team is: people that look out for each other.  Toyota Motor Sales has great benefits, and the company is designed to help an associate with a family.  Actual salary may not be as high as you would expect, but the benefits and work  life balance more than make up for it.As with most Corporations, there are politics in several decisions of which can affect your career.  If you are a single individual, the benefits are great, but you cannot fully utilize them without dependents.  Salary is not as high as you would expect from a major corporation, and without dependents to fully utilize the benefits, it may not be as compensating of a job as a single individual is looking for."
2009-04-16,2.0,"Great product and overall company, bad local direction. Toyota makes a great product that you can be proud to sell.  They have a lot of ongoing education on Toyota products and have regular handson trainings where you learn a lot about new products and features.  There were many trips to LA to testdrive new vehicles and a requirement to complete numerous online training classes that were very well written and provided a lot of information.Toyota doesn't have much markup so the pay isn't fantastic.  The management and environment at the dealership was horrible.  You can't trust anyone to help you or be on your side.  The managers and owner are no exception.  The company itself is good, but locally it is horrible."
2009-05-13,3.0,"Not a bad place to be - easy work for decent pay Nobody works that hard, hours are 95, and you get every other Friday off.  The pay is reasonable for how little effort people there put into their work.Change/Progress moves very slowly, Japanese/Toyota Way often used as an excuse for accomplishing nothing and taking forever to make a change.  Can be frustrating if you like to, you know, make a difference or accomplish anything."
2009-08-01,1.0,"Worst job of my life You can be sure your check will not bounce and you will get paid on time. That's about the only thing I can think of. If you work as a contractor for Toyota, you will be harrassed and discriminated by supervisors and in a more subtle way, by management. Once you become a team member, you can be as lazy and unprofessional as you want. As long as you are a team member, Toyota never fires you. If you make some mistake or do something wrong all you get is a slap on the hand. Therefore it's a great place to work long term if you are unskilled and have no ambitions, because you will have a job guaranteed for life, regardless of how many mistakes you make. Management is not flexible at all, and they don't have the slightest clue of how everyday problems are solved. I saw how team members who worked, say, in human resources were offered key positions in, say, production (or some other completely unrelated area) even if they did not have the skills. On the other hand, contractors who had the skills for filling an open position were never offered the chance to become team members  the golden elite who can never get fired . If you are creative, or want to grow or do things in a different way (even if it reduces costs and is more efficient), forget it. At Toyota everything is done ""by the book"". The problem is some of their procedures are already obsolete."
2009-08-24,4.0,"TMMWV Some of the best reasons to work there are the quality of people at Toyota, attention to detail and respect for each person.Working in West Virginia, like a lot of auto companies they are building plants in the middle of no where which can be a pain to drive an hour from a small city. I would probably still be working there if the plant was in a more desirable location or I didn't have children in school right now. I would have rather taken a job in Georgetown, Ky a much nicer location."
2009-10-01,5.0,"Wonderful company to co-op with, awesome co-workers, great environment. Management was wonderful and all specialists within our group were extremely helpful.  They gave me responsibilities of a full time employee, even though I was a coop, which included various projects and assignments.It was difficult to request time off because of work assignments that had to be completed during certain times of the month.  Some days, when we travel during the day, you may be away from home for 12 hours."
2009-10-04,2.0,"Toyota motor Sales Benefits PlanDecent Salary, Good bonuses when offeredLack of promotion opportunities, senior management is isolated compared with other industries."
2009-10-04,4.0,TEMA Co-op You will receive a great amount of work experience. TEMA really prepares you to become a fulltime employee which is great.Depending on where you work within TEMA you may be expected to work long hours and do a large amount of traveling.
2009-11-10,4.0,"If you like the auto business, a great place to work If you like the auto business, Toyota Motor Sales can be a great place to work.  Working in the field is dynamic.It can be frustrating to see the lack of motivation and respect for the company from other employees.  Many see working for TMS as more secure than a government job, and treat it as such."
2009-12-07,3.0,"Good place to start career. Many positions and advancement possiblities if you work at the corporate headquarters in Torrance, CA.It is very difficult to advance if working IT in the field."
2010-01-05,3.0,Every employee at Toyota is a Team Member The benefits and job security sets Toyota apart from most other companies.  Toyota respected my military affiliation and was a great corporate sponsor.You can't get ahead unless you know someone.  Once your benefits are taken away they're gone for good.  Lots of injuried Team Members afraid to discuss injuries thinking they will lose their jobs.
2010-03-09,2.0,"A good place for an engineer from the area, but may have to deal with a strange relationship with headquarters in Japan Work life balanceOpportunity to learn Toyota Production System and solid problem solving skillsDecisions and direction still comes from JapanOne way communication US> JapanLanguage barrier with Japan counterpartsThe feel of ""it is good if it come from Japan ONLY"" for people and ideas"
2010-04-17,2.0,"High Stress, No reward, Doom and Gloom  Great benefits package Pension Program Bonus (now gone though) High Stress for little reward Extremely low morale Work very hard to meet project deadlines but see little to no benefit of hardwork Raises and promotions are poor"
2010-06-03,3.0,"Great place for steady work Great benefits. Most jobs are 95 type office work. Company HR cares about its employees and provides lots of generic ""development"" style training.Minimal professional development opportunities, particularly in IS (the company cares more about ""personal"" development than career development). No flexibility in work environment  all office work."
2010-06-20,5.0,review good pay. great coworkers. good opportunity for growthstrict. they monitor breaks to the minute
2010-06-21,3.0,"Fair Place to Work Work Life Balance, Benefits, Car Allowance, Flexibitlity, Ability to MoveDifficult to get promoted, people have been there a long time"
2010-06-23,5.0,engineer co-op good salarypays to relocationgreat work exposuremore engineering responsiblitymore engineering mentoring
2010-06-29,3.0,"Good place to work Employer teaches you great skills, good environment.  I enjoyed the people, management, enviroment in general.  Good job for people out of college.Archaic structure in the corporate from Japan.  Motor vehicles sales have been driven lower, potential layoffs in the near future."
2010-07-03,2.0,"If you are an engineer, consider somewhere else until the economy improves There are many opportunities to learn how TPS is practiced in reality and is an asset for future employment elsewhere.  The pay prior to the downturn was great with overtime offered to engineers in return for 7080 hr work weeks.  Employment security is extremely important to management and pride themselves in not laying anyone off since 1950.Compensation without the overtime is not nearly as high as comparable auto manufacturers and is the principle complaint of all specialists involved with plant operations because the long hours are still required to get the job done."
2010-07-07,3.0,"IT's not the worst place to work It is a secure place to work. We were able to keep all of our temps through the most recent economic down turnIt is a very corporate cultur, and promotions are more based on who you know not what you do."
2010-07-23,2.0,"Good place for a job, not a career Good benefits and good coworkers, culture is ok if you appreciate the Japanese management style, many opportunities for rotation within Purchasing or to other departmentsNo direction from management and too much dead weight; too afraid to cut the fat to protect the 'no layoff' reputation"
2010-07-30,3.0,"performed IT consulting for at least 2 years @ toyota predictable environment, nice people, 9 to 5lifer's, extreme version of 'corporate', process heavy, redtape"
2010-08-01,4.0,One of the worlds best companies. Challenge in your daily work .Can be creative.Job security.Good cultureLimited opportunities for advancement into upper management (local staff make it to VPs)
2010-08-02,4.0,"View from Band 3 Not too stressful, nice campus, decent benefits, attempt to have work/life balance. Onsite fitness center and cafeteria. Flex hours and every other Friday off.Most employees are not able to advance very far in their careers. Opportunities can be limited. Good place for stability, not good for more ambitious people."
2010-08-05,3.0,"Toyota is a stable work environment, but don't expect to ever improve your standard of living by working there. Toyota is a very stable job environment. The work is not too demanding, and the people are all very professional.The upward mobility is nonexistent.  It is very difficult to improve your standard of living above the level that you come in at."
2010-08-10,3.0,"Use to be a better place to work, but still not bad compared to other automotive mfg's. Stable, solid, dependable background of keeping employees.  Very little hiring/firing once you are inside (However, this is also a detriment  see below).  Toyota has been much more stable over the years compared to GM, Ford, or Chrysler certainly.  Toyota has equivalent or better benefits in comparison to other automotive oe's.Employees (called ""Associates) are treated with respect, and typically granted a lot of leeway provided they are producers.Great facilities  nice campus, great food, credit union and other services.Top management has lost it's way.  Toyota is not necessarily a big ship clearly headed in the right direction under strong leadership as in the past.  A substantial amount of current leadership really got to their positions via politicking and positioning themselves by making powerful friends more than actually being the most skilled and knowledgeable.  That is starting to show.  The problem is worse at individual department manager leadership, where Toyota tends to shift management in frequently (every 23 years) from not very closely related areas (again based on chummy favoritism over skill set) that aren't experts in the product and therefore tend to be listless/feckless leaders.  Toyota clearly should do more promoting from within departments.  Subject matter experts abound, but they are used as ""nice tools"" until they realize they aren't going to be promoted over the politically savvy but technically weak  and they leave.  Toyota has suffered from a talent drain over the past 10 years and it appears to be gaining momemtum  a bad sign for the company.  Basically, top management seems to think good managers come from reading books on management and attending seminars and applying the general management theories they learn.  It's not working.  They need to retain and promote people truly interested and knowledgeable in their product and their market  and push the sappy generalists to the side.As I mentioned,  there is a talent drain from Toyota  however it remains a good, solid company to work for to pull down a decent salary.  Therefore, a lot of nonperformers never leave.  And, Toyota seems to be very soft in dealing with them.  Every department is filled with about 25% ""post office mentality"" people that feel they deserve a job at Toyota, have a general distrust of management, and are more concerned about their benefits on a daily basis than performance on their job.  IN fact, many seem more apt to argue and bicker and push away responsibility.  They are not punished for this behavior.  In fact, the general feeling among nonmanagers is ""work hard, be better, or not....you will get the same steady average raise"".  Toyota needs to change that fast."
2010-08-30,2.0,Toyota Assistant Manager Learn Toyota Business Practice (TBP) 8  Step Problem solving.  Toyota name enhances your resume and is know as the industry leader!Toyota does not welcome new ideas and TMMTX tends to only value prior Toyota experience.  Senior Management lacks vision and moral at the plant is extremely low.  Highest turnover rate for salary personnel compared to all other Toyota plants.
2010-09-09,2.0,"Once rewarding...now regrettable. Toyota job security.  Safe work environment.  Medical benefits are competitive but nothing great.Salaried took 20% cut in pay and it has yet to be restored although the hourly and Upper Management pay has been restored.Terrible work/life balance.  Expect 5560 hours a week.High expectations with little training and little resources to get it done.For Salaried, expect to be treated like a warm body.This place is losing its best talent weekly and it appears nobody really cares."
2010-09-20,2.0,"Environment of Mediocrity Solid employer, almost impossible to lose your job.Same as pro, many people that are there should not be."
2010-09-20,5.0,"good work life balance, pay rate is good.seniority, quality of people in other groups."
2010-09-21,3.0,"Toyota Customer Services Great benefits and vehicle perks. Lifelong employment, a great campus, and great location all make TMS a very tempting employer.Tough to get promoted, mostly because competence is not important. Toyota Japan makes all the decisions, and you can see it in the upper management at TMS. Most of them haven't accomplished a single thing in 20 years, and Japan likes it that way."
2010-09-25,4.0,"Stable, Long term automotive company The best products, the best working relationship between dealerships and corporate office in the industry, incredible benefits; THE leader in automotive industry in the future.Long term associates in field offices who do not want to progress or relocate with the company creates a backlog of people who then cannot move.  This can created an atmosphere tension and overall lack of engagement due to no career growth. s."
2010-10-25,3.0,"TEMA Great work life balance, good compensation (401k, health & benefits).  Travel often enough.  Work with people of other cultures (Japanese).No control over what happens, always decided by Japanese people. Job roles are conflicting with each other many people trying to do the same thing. No responsibility or positive rewards for jobs done well."
2010-10-25,4.0,"Very good company, great products It is a very conservative company. If you want  to limb the ladder really quickly  this probably isn't the place for you, you may become frustrated.  It is a very stable organization that treats employees very well.  Excellent benefits.  Wonderful people. Lots of diverse departments and the company is supportive if you want to work in new departments in order to acquire new skills and knowledge. Definitely some opportunities to learn.  Very low turnover, people rarely leave. You will not become rich working here, but you can make a decent living to provide security for your family.Getting promoted is a very slow process.  Also, there is a lot of favoritism in departments. Very slow decision making, in this company. Because the organization is so conservative, it is lacking  in creativity.  Very hierarchical in structure and the company is very elitist in the way it treats executives."
2010-11-19,3.0,"toyota the place to work to learn lean mfg.  They have some of the best and most intellegent engineers.  You will defintely learn alot and be challenged.no work life balance and comiting to the rotating schedule is difficult.  It is a drain on a family, especially for professionals positions, where there are other options that pay more $"
2010-12-09,2.0,"Too many chiefs not enough indians. Good pay and benefits.Interesting cultural environment and ability to learn cross functionally.Too much workload without prioritized focus.  Unrealistic deadlines and vague vision results in poor quality, strained relationships and overall unmet deliverables (speaking to admin areas)."
2010-12-17,1.0,"Very bureaucratic, could use a management makeover. Good benefits and flexible schedules.Extraordinary project failure rate.Arrested decision making ability due to Ineffective management structure in some sections. Over attention to lowest cost to a fault.Culture favors promotion based on length of service rather than effectiveness."
2010-12-17,2.0,"A job, not a career. Outstanding reputation as global automotive leader through excellent vehiclesBenefits are very good, esp for people with families; vehicle discounts/lease program are goodCompany business situation is transparentJob securityBroad scope of responsibilties Work is very flexible for family and outside committmentsBrilliant and worldclass colleaguesDiversity is highly valued and emphasizedIf you want career advancement, McDonalds is probably better.  Moving up here is like wading through molasses in Alaska during January.  Employees have Career Development Planning that is mostly discouragement and a waste of 1 hour of you and your manager's life every year.Respect for Employees is written as a core principle of the company, but in actuality the management would have difficulty defining what this is, let alone provide examples of how it is done.Office politics is rampant and decides a fair amount of business decisions, including who is promoted.Due to lifetime employment culture, many managers are promoted based on seniority only and can be incompetent and devoid of leadership skills; some cannot even relate to people or make logical business decisions with respect to the bottom line.Encouragement and recognition are almost completely nonexistent.Business practices, technology used, and culture is archaic.Countryclub type culture is uber politically correct, and any results different than expected is considered ""bad news"" which is why problems are kept from surfacing."
2010-12-30,2.0,depends on where your at the experience you have with customer servicenot much advancement to move up
2010-12-31,4.0,"Great place for full time and contract I was a contract hire.  It was treated very well and very similar to full timers.  It would definitely work there again, but would like to go back as a full time hire.Everything became busier and there were less people around as the economy tanked, but what place isn't like that."
2011-01-04,5.0,"Great place to launch a post MBA career Cars, Cars, Cars...  Great deal for managers and aboveWorksite was like a campus  you could drop off dry cleaning, pickup a bday card, workout and eat all on campus.One negative is that there are some ""lifers"" that may not be that talented and even as a young manager you can start to feel the ""golden handcuffs"" (and therefore not leave for other roles at other firms)."
2011-01-11,5.0,"My experience was excellent There is a lot of room for growth within the company. It is a great working environment. There is so much to learn and experience.There is no downside or negativity working for Toyota. Infact, I see the downside of any given situation is a learning experince that would add more to becoming more successful within the company."
2011-01-14,4.0,"Good experience, limited growth potential Ability to contribute early on in career and ability to develop into the position.Difficult to advance and move upward once developed into a position."
2011-01-16,5.0,"Hard Work - Rewarding Results Job Stability, Job Stability, Job Stability.  Great Benefits. Dynamic Jobs.  Capability to rotate into any area of the company.  Encouraged to solve problems by yourself or with a group of your peers.  Capability to develop and implement business practices, even as a specialist.  Cross functional communication and teamwork is a normal part of daily job.  Consensus management environment  no one is ever left completely on their own.You will never gain monetary wealth at this company.  Even Sr. Management are upper Middle class, at best.  Company is young, but starting to age.  If North American product suffers in sales / profit, North American employees suffer the financial penalty, however, the sales/profit losses are typically due to Japan Design or Toyota Motor Sales practices, so North American Members suffer due to reasons that are out of their control."
2011-01-16,2.0,"Refreshing initially, understanding Toyota Way has been extremely beneficial. Proud of the company ethics and social responsibility, Toyota Way is a unique approach to business that would benefit other companies. Truly compassionate environment  many community activities to reflect the spirit of Toyota Way.NA is limited in scope to truly impact business direction. Run with Japanese mentality but staff of NA employees  disconnect not truly recognized by mgt. Career paths are limited. Development is strongly embraced but few in supervisory roles are capable or make the effort. Work load is not evenly distributed and compensation does not reflect scope of the workload. High level of frustration at working level and management alike. Outdated systems and technology in the administrative world."
2011-01-20,5.0,Great experience great companygood coop paypeople are really friendlyawesome gymreally big company! which for some people won't be a problem
2011-02-04,3.0,"Big corporation with Little dreams Great balance between work and life.  9/80 is wonderful and people are respectful of one another.  Location is fantastic and industry is interesting.The soul of the company seems to be eroding with weaker management left behind along with lifers.  Those looking to make a positive change are often crushed by fear or the weight of red tape.  You must conform.  Could be more efficient, but that is not the corporate culture right now.  Frustrating to see so much sourcing out to suppliers that are taking advantage of weak managers."
2011-02-18,1.0,"Very unfulfilling due to a lack of monetary recognition for sales generated. Great products. Health Benefits Package. Company's focus on the customer.Lack of compensation for sales generation. I led the Customer Relations Department in Dealer Referrals, and Dealer Referrals that turned into actual sales, for 9 months straight. Received absolutely no compensation for it. Toyota claims that each person who purchases a vehicle generates several 100s of 1000s of dollars in lifetime revenue. This includes vehicles purchased, service, and referrals to family and friends."
2011-03-03,2.0,"Poor Leadership, poor respect to Team Members and contractors. TMMTX does not follow Toyota Principles. Good place to get automotive experience, get your feet wet, and put a great company on your resume.  Lots of good people to work with.Management does not follow Toyota company values no respect, to many hours, no gratification for hard work, no out of the box thinking, everything that can be done to make something better needs to have been done somewhere else in Toyota.  cheap medical insurance, many things not covered, onsite clinic for family (yes this is a con)."
2011-03-17,3.0,It has been a very good learning experience Lots of hands on testing opportunities. Management is laid  back and not too pushy in getting work done.Some employees take advantage of the management being laid back and slacking at there job causing me to get behind in my work. Some employees are not competent for the job they are suppose to perform.
2011-03-24,3.0,I am responsible Repeat Business is very common in the service driveBusiness needs to be Renavated was built in the 50's.  CRM System needs to me updated
2011-03-28,2.0,"The Bridge on the River Kwai without an Alec Guiness Job Security, but you must work harder during the peaks than your contemporaries at domestic OEMsTMC Japan is manipulative and distrusting of opinions outside Japan"
2011-03-30,2.0,"Toyota is not a meritocracy Work / life balanceBenefitsGreat communityCar benefitsStabilityVery little career growth opportunitiesNepotism and good 'ol' boy approach to promotionsNo systemic way to identify and reward talentIncompetent employees are retained, and often promoted."
2011-04-01,5.0,"My experience with Lexus was great Great work enviornment, everyone is willing to out of there way to help you understand or find something. Management does not treat you like you are below them, they treat you with the same respect as anyone else. Always something fun going one.One must have thick skin to work here, and I say this because of the customers. Never take what they say personal."
2011-04-07,5.0,A great experience Pay and benefits and cleanlinessSwing shift is the only con
2011-04-12,3.0,"Bland mediocrity, with a dash of incompetance and two scoops of the ""friends and family"" plan. Pay, insurance (health, dental, vision, all great), time off (gobs of time; I've only been here 4 years and I accrue more than I care to take off).Dinosaurs abound at HQ.  The place is chock full of people who have done the same type of job for +25 yrs and still cannot figure out an Excel formula.  Logistics, and you don't know what A1B1 means?  Ok, not good...That's pretty much it.  Great for the twilight years of your career, detrimental to anyone younger than 50.  While your friends who work for Amazon are innovating and keeping pace with the times, you will get old, soft, and wrinkly (and thinking how great you are at the same time)."
2011-05-05,4.0,The working environment is demanding Salary is great and the company structure is quite nice. The people i worked with were also genuine and it seemed real.Long hours force overtime which can sometimes be a good thing however during high production it can be quite stressful and unpredictable.
2011-05-07,3.0,"I used to really enjoy working at TMS, now not so much. Very nice people work at TMS.Some upper management is to self serving"
2011-06-02,2.0,"MBA Intern looking in from outside Diversity, lots of respect among employees.  Calm.  Perhaps boring?I hear there is a lack of upward mobility.  Promotions are based on years at toyota, not competence.  Too consensus and quantitatively driven"
2011-06-18,3.0,"Started out as a great place to work 15years ago but the constant chipping away at benefits has hurt morale. Employee discount, stable job environment if you are fulltimeLack of upward movement due to the Americanization of the plant and new key positions bring their cronies from previous outside employers. Toyota has faltered in the J.D. Powers quality award every since they moved from a bottom up management style to topdown management style. The development of internal talent that made this co. Great has been put to the wayside and it shows from all the recent problems that are starting to creep up on them."
2011-07-13,2.0,"Boring, treated like sheep You are busy, but with easy work.  They mistake busy work with progressYour career path is very defined.  Untalented people move up at the same rate as talented people"
2011-08-04,4.0,It has been a long  four years! The company does take care of their employees with great benefits! The pay is good for the area but small increases wouldn't hurtWorking at this company takes a huge toll on your family life. Yes you do have vacation time but the demand is stressful
2011-08-07,3.0,"Hard work, little promotion potential, but excellent benefits & job security Excellent job security, lots of vacation, great health care benefits. Overall the team members are friendly and people generally exhibit a company first attitude (as opposed to only one dept or another.)Little room for development after 57 years. Rotation ability to other departments very limited.Promotion opportunities becoming more and more limited."
2011-08-14,4.0,Good insight into the corporate world Lexus is a great company that values respecting your peers.The communication between supervisors and employees could be a lot better.
2011-08-15,4.0,Good place to work with strong benefits and job security. Strong corporate culture that is not for all.  This company provides a strong benefits package Job security is very strong at this company The company promotes a safe and respectful workplace This company has a very strong corporate culture that may not be fit for everyone Overall salary itself is slightly uncompetitive to market Administrative burden is heavy (e.g. HR processes)
2011-10-01,4.0,I learned a lot and made good friends there Great place to balance work and lifeIt should improve the promotion system.
2011-10-30,3.0,Very satisfied with company Great place to workOpeness to share ideasRelaxed environmentNo upward movement like it once wasToo many managers in the same department
2011-11-13,1.0,"Not Good It's Toyota, pay is good even for a temporary position. Coworkers are nice. Close to where I live so don't have to drive far.Temp positionNo chance at full time employmentWay temps are treated. We are like the unwanted step child. No praise for doing a good job"
2011-12-02,3.0,High turnover rate Working with experienced TPS team membersComplacent management and continous training of new team members
2011-12-20,3.0,"long-term nice people, hard working but would like to get more closureno understanding of advancement oppertunites, much less job prospects"
2012-01-12,4.0,"Rewarding but tough Paint shop yielded a higher amount of overtime then some areas of plant, however compensation was generous. Time and a half overtime, on top of the high hourly wage. Depending on overall plant performance and quality(economy wise), you received a Spring cash bonus and a Fall bonus. Your initial two weeks are Work conditioning (paid to workout). Benefits are great! With an onsite clinic for dental, vision, physical rehab. and primary care. A Yearly family picnic. For Example: They rented the entire Six Flags Fiesta Texas for the Toyota team. A great Longterm job.Not a good work life balance with excessive overtime. I saw my family minimally. The job is very physical, you are on your feet in Steeltoe boots 8+ Hours a day, subjecting yourself to dangerous machinery, surroundings, or chemicals.  The susceptibility of onthejob injuries are greater, and in some case permanent injuries. You are initially hired by a contractor, Aerotek, for 6+month probationary period.  The benefits are NOT as high but still decent, untill hired on by toyota."
2012-01-29,2.0,"Frustrating. Product knowledge/feel not appreciated.  Fast-talking generalists are. Industryleading benefits.  (But they may be cut if things don't turn around).Stability.  (Toyota has a large amount of financial strength)Lack of design and product knowledge at TMS.  Good product people get frustrated with lack of progress and most leave to use their ""Toyota education"" elsewhere craving growth and more control over the process.  (Toyota is almost paralyzed by it's many silo's and differing, sometimes counteracting divisional priorities)Toyota has promoted generalists  usually those who have spent more effort on managing their career and connecting / trying to be friendly with upper management than becoming product and market experts.  This has left Toyota with a lack of direction and management that doesn't know where to go.  It's led to bland cars, safe decisions, and general malaise."
2012-02-26,3.0,Stable career with low advancement opportunities and below average pay and benefits Job stabilityFreedom to choose workRespect from upper managementGreat work/life balanceBelow average payBelow average benefitsSome benefits disappear at retirementAdvancement opportunities are scarce at the Specialist level.
